id,input,expected_output,llm_answer
1,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""乙醯胺酚""",Acetaminophen,
2,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Acetaminophen""",乙醯胺酚,
3,"請把以下中文醫藥名稱翻成英文，並輸出英文名稱：""乙醯胺酚""",Acetaminophen,
4,"請把以下英文醫藥名稱翻成中文，並輸出中文名稱：""Acetaminophen""",乙醯胺酚,
5,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""阿斯匹林""",Aspirin,
6,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Aspirin""",阿斯匹林,
7,"請把以下中文醫藥名稱翻成英文，並輸出英文名稱：""阿斯匹林""",Aspirin,
8,"請把以下英文醫藥名稱翻成中文，並輸出中文名稱：""Aspirin""",阿斯匹林,
9,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""阿布帖醇硫酸鹽""",Albuterol Sulfate,
10,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Albuterol Sulfate""",阿布帖醇硫酸鹽,
11,"請把以下中文醫藥名稱翻成英文，並輸出英文名稱：""阿布帖醇硫酸鹽""",Albuterol Sulfate,
12,"請把以下英文醫藥名稱翻成中文，並輸出中文名稱：""Albuterol Sulfate""",阿布帖醇硫酸鹽,
13,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""阿曼他丁鹽酸鹽""",Amantadine Hydrochloride,
14,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Amantadine Hydrochloride""",阿曼他丁鹽酸鹽,
15,"請把以下中文醫藥名稱翻成英文，並輸出英文名稱：""阿曼他丁鹽酸鹽""",Amantadine Hydrochloride,
16,"請把以下英文醫藥名稱翻成中文，並輸出中文名稱：""Amantadine Hydrochloride""",阿曼他丁鹽酸鹽,
17,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""艾米康絲菌素硫酸鹽""",Amikacin Sulfate,
18,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Amikacin Sulfate""",艾米康絲菌素硫酸鹽,
19,"請把以下中文醫藥名稱翻成英文，並輸出英文名稱：""艾米康絲菌素硫酸鹽""",Amikacin Sulfate,
20,"請把以下英文醫藥名稱翻成中文，並輸出中文名稱：""Amikacin Sulfate""",艾米康絲菌素硫酸鹽,
21,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""白喉疫苗""",Diphtheria Vaccine,
22,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Diphtheria Vaccine""",白喉疫苗,
23,"請把以下中文醫藥名稱翻成英文，並輸出英文名稱：""白喉疫苗""",Diphtheria Vaccine,
24,"請把以下英文醫藥名稱翻成中文，並輸出中文名稱：""Diphtheria Vaccine""",白喉疫苗,
25,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""吸附白喉 - 破傷風混合疫苗""",Diphtheria and Tetanus Vaccine Adsorbed,
26,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Diphtheria and Tetanus Vaccine Adsorbed""",吸附白喉 - 破傷風混合疫苗,
27,"請把以下中文醫藥名稱翻成英文，並輸出英文名稱：""吸附白喉 - 破傷風混合疫苗""",Diphtheria and Tetanus Vaccine Adsorbed,
28,"請把以下英文醫藥名稱翻成中文，並輸出中文名稱：""Diphtheria and Tetanus Vaccine Adsorbed""",吸附白喉 - 破傷風混合疫苗,
29,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""成人用吸附白喉 - 破傷風混合疫苗""",Diphtheria and Tetanus Vaccine Adsorbed for Adult Use,
30,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Diphtheria and Tetanus Vaccine Adsorbed for Adult Use""",成人用吸附白喉 - 破傷風混合疫苗,
